,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
120,com.amaze.filemanager.utils.MapEntry,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121,com.amaze.filemanager.utils.OTGUtil,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,com.amaze.filemanager.utils.SubnetScanner,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,com.amaze.filemanager.utils.Utils,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
124,com.inscription.ChangeLogDialog,TweetLanes-v1.4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,com.keepassdroid.Database,keepassdroid-v2.5.9,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
126,com.keepassdroid.EntryActivity,keepassdroid-v2.5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
127,com.keepassdroid.EntryActivityV4,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,com.keepassdroid.EntryEditActivity,keepassdroid-v2.5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,com.keepassdroid.EntryEditActivityV4,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,com.keepassdroid.GeneratePasswordActivity,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,com.keepassdroid.GroupActivity,keepassdroid-v2.5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,com.keepassdroid.GroupBaseActivity,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
133,com.keepassdroid.GroupEditActivity,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
134,com.keepassdroid.SetPasswordDialog,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,com.keepassdroid.biometric.BiometricHelper,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,com.keepassdroid.collections.VariantDictionary,keepassdroid-v2.5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,com.keepassdroid.compat.ClipDataCompat,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,com.keepassdroid.compat.ContentResolverCompat,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
139,com.keepassdroid.compat.KeyGenParameterSpecCompat,keepassdroid-v2.5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,com.keepassdroid.compat.PRNGFixes,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
141,com.keepassdroid.compat.StorageAF,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
142,com.keepassdroid.crypto.CryptoUtil,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,com.keepassdroid.crypto.NativeAESCipherSpi,keepassdroid-v2.5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
144,com.keepassdroid.crypto.finalkey.AndroidFinalKey,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,com.keepassdroid.crypto.keyDerivation.Argon2Native,keepassdroid-v2.5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,com.keepassdroid.crypto.keyDerivation.KdfEngine,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,com.keepassdroid.crypto.keyDerivation.KdfFactory,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
148,com.keepassdroid.crypto.keyDerivation.KdfParameters,keepassdroid-v2.5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,com.keepassdroid.database.EntrySearchHandler,keepassdroid-v2.5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
